Setpoint,8V,Setpoint,8.25V,Setpoint,8.5V,Setpoint,9V,Setpoint,9.5V,Setpoint,10V,Setpoint,12V,,Voltage,Ideal
340,2.48,675,3.844,675,4.04,675,4.43,675,4.871,675,5.31,255,5.03,79,0.064627595,0.540816691
350,2.515,700,3.93,700,4.13,700,4.52,700,4.958,700,5.405,260,5.07,80,0.065445665,0.547662472
360,2.55,725,4.01,725,4.21,725,4.6,725,5.04,725,5.49,265,5.1,81,0.066263736,0.554508253
370,2.583,750,4.09,750,4.29,750,4.7,750,5.124,750,5.575,270,5.17,82,0.067081807,0.561354034
380,2.616,775,4.17,775,4.37,775,4.79,775,5.208,775,5.67,275,5.23,83,0.067899878,0.568199815
390,2.653,800,4.26,800,4.46,800,4.88,800,5.3,800,5.76,280,5.28,84,0.068717949,0.575045596
400,2.692,825,4.35,825,4.55,825,4.965,825,5.39,825,5.85,285,5.34,85,0.06953602,0.581891377
410,2.728,850,4.43,850,4.63,850,5.06,850,5.476,850,5.94,290,5.39,86,0.07035409,0.588737158
420,2.768,875,4.51,875,4.71,875,5.13,875,5.558,875,6.02,295,5.46,87,0.071172161,0.595582939
430,2.805,900,4.596,900,4.79,900,5.22,900,5.646,900,6.09,300,5.5,88,0.071990232,0.60242872
440,2.842,925,4.683,925,4.88,925,5.31,925,5.732,925,6.182,305,5.55,89,0.072808303,0.6092745
450,2.878,950,4.772,950,4.97,950,5.395,950,5.82,,,310,5.59,90,0.073626374,0.616120281
460,2.91,975,4.857,975,5.055,975,5.48,975,5.9,,,315,5.62,91,0.074444444,0.622966062
470,2.944,1000,4.93,1000,5.145,1000,5.56,1000,5.98,,,320,5.66,92,0.075262515,0.629811843
480,2.975,1025,5.01,1025,5.22,1025,5.65,1025,6.05,,,325,5.685,93,0.076080586,0.636657624
490,3.008,1050,5.11,1050,5.315,1050,5.74,1050,6.145,,,330,5.72,94,0.076898657,0.643503405
500,3.04,1075,5.2,1075,5.4,1075,5.82,,,,,335,5.74,95,0.077716728,0.650349186
510,3.073,1100,5.28,1100,5.49,1100,5.9,,,,,340,5.77,96,0.078534799,0.657194967
520,3.108,1125,5.368,1125,5.57,1125,5.987,,,,,345,5.8,97,0.079352869,0.664040748
530,3.143,1150,5.455,1150,5.655,1150,6.062,,,,,350,5.82,98,0.08017094,0.670886529
540,3.18,1175,5.55,1175,5.75,1175,6.15,,,,,355,5.84,99,0.080989011,0.67773231
550,3.215,1200,5.636,1200,5.84,,,,,,,360,5.86,100,0.081807082,0.68457809
560,3.253,1225,5.73,1225,5.928,,,,,,,365,5.89,101,0.082625153,0.691423871
570,3.29,1250,5.812,1250,6.012,,,,,,,370,5.91,102,0.083443223,0.698269652
580,3.325,1275,5.9,1275,6.094,,,,,,,375,5.94,103,0.084261294,0.705115433
590,3.357,1300,5.99,1300,6.181,,,,,,,380,5.97,104,0.085079365,0.711961214
600,3.39,1325,6.08,,,,,,,,,385,6,105,0.085897436,0.718806995
610,3.42,1350,6.172,,,,,,,,,390,6.04,106,0.086715507,0.725652776
620,3.45,,,,,,,,,,,395,6.07,107,0.087533578,0.732498557
630,3.48,,,,,,,,,,,400,6.095,108,0.088351648,0.739344338
640,3.515,,,,,,,,,,,405,6.13,109,0.089169719,0.746190119
650,3.55,,,,,,,,,,,410,6.165,110,0.08998779,0.753035899
660,3.583,,,,,,,,,,,415,6.195,111,0.090805861,0.75988168
670,3.62,,,,,,,,,,,,,112,0.091623932,0.766727461
680,3.656,,,,,,,,,,,,,113,0.092442002,0.773573242
690,3.692,,,,,,,,,,,,,114,0.093260073,0.780419023
700,3.727,,,,,,,,,,,,,115,0.094078144,0.787264804
710,3.76,,,,,,,,,,,,,116,0.094896215,0.794110585
720,3.79,,,,,,,,,,,,,117,0.095714286,0.800956366
730,3.825,,,,,,,,,,,,,118,0.096532357,0.807802147
740,3.86,,,,,,,,,,,,,119,0.097350427,0.814647928
750,3.89,,,,,,,,,,,,,120,0.098168498,0.821493709
760,3.924,,,,,,,,,,,,,121,0.098986569,0.828339489
770,3.96,,,,,,,,,,,,,122,0.09980464,0.83518527
780,4,,,,,,,,,,,,,123,0.100622711,0.842031051
790,4.03,,,,,,,,,,,,,124,0.101440781,0.848876832
800,4.067,,,,,,,,,,,,,125,0.102258852,0.855722613
810,4.105,,,,,,,,,,,,,126,0.103076923,0.862568394
820,4.14,,,,,,,,,,,,,127,0.103894994,0.869414175
830,4.18,,,,,,,,,,,,,128,0.104713065,0.876259956
840,4.21,,,,,,,,,,,,,129,0.105531136,0.883105737
850,4.24,,,,,,,,,,,,,130,0.106349206,0.889951518
860,4.275,,,,,,,,,,,,,131,0.107167277,0.896797298
870,4.31,,,,,,,,,,,,,132,0.107985348,0.903643079
880,4.34,,,,,,,,,,,,,133,0.108803419,0.91048886
890,4.375,,,,,,,,,,,,,134,0.10962149,0.917334641
900,4.41,,,,,,,,,,,,,135,0.11043956,0.924180422
910,4.446,,,,,,,,,,,,,136,0.111257631,0.931026203
920,4.48,,,,,,,,,,,,,137,0.112075702,0.937871984
930,4.517,,,,,,,,,,,,,138,0.112893773,0.944717765
940,4.56,,,,,,,,,,,,,139,0.113711844,0.951563546
950,4.6,,,,,,,,,,,,,140,0.114529915,0.958409327
960,4.63,,,,,,,,,,,,,141,0.115347985,0.965255108
970,4.663,,,,,,,,,,,,,142,0.116166056,0.972100888
980,4.7,,,,,,,,,,,,,143,0.116984127,0.978946669
990,4.73,,,,,,,,,,,,,144,0.117802198,0.98579245
1000,4.76,,,,,,,,,,,,,145,0.118620269,0.992638231
1010,4.8,,,,,,,,,,,,,146,0.119438339,0.999484012
1020,4.83,,,,,,,,,,,,,147,0.12025641,1.006329793
1030,4.87,,,,,,,,,,,,,148,0.121074481,1.013175574
1040,4.9,,,,,,,,,,,,,149,0.121892552,1.020021355
1050,4.94,,,,,,,,,,,,,150,0.122710623,1.026867136
1060,4.975,,,,,,,,,,,,,151,0.123528694,1.033712917
1070,5.015,,,,,,,,,,,,,152,0.124346764,1.040558697
1080,5.05,,,,,,,,,,,,,153,0.125164835,1.047404478
1090,5.085,,,,,,,,,,,,,154,0.125982906,1.054250259
1100,5.112,,,,,,,,,,,,,155,0.126800977,1.06109604
1110,5.15,,,,,,,,,,,,,156,0.127619048,1.067941821
1120,5.183,,,,,,,,,,,,,157,0.128437118,1.074787602
1130,5.22,,,,,,,,,,,,,158,0.129255189,1.081633383
1140,5.252,,,,,,,,,,,,,159,0.13007326,1.088479164
1150,5.285,,,,,,,,,,,,,160,0.130891331,1.095324945
1160,5.32,,,,,,,,,,,,,161,0.131709402,1.102170726
1170,5.362,,,,,,,,,,,,,162,0.132527473,1.109016507
1180,5.4,,,,,,,,,,,,,163,0.133345543,1.115862287
1190,5.438,,,,,,,,,,,,,164,0.134163614,1.122708068
1200,5.475,,,,,,,,,,,,,165,0.134981685,1.129553849
1210,5.51,,,,,,,,,,,,,166,0.135799756,1.13639963
1220,5.55,,,,,,,,,,,,,167,0.136617827,1.143245411
1230,5.584,,,,,,,,,,,,,168,0.137435897,1.150091192
1240,5.617,,,,,,,,,,,,,169,0.138253968,1.156936973
1250,5.648,,,,,,,,,,,,,170,0.139072039,1.163782754
1260,5.688,,,,,,,,,,,,,171,0.13989011,1.170628535
1270,5.725,,,,,,,,,,,,,172,0.140708181,1.177474316
1280,5.758,,,,,,,,,,,,,173,0.141526252,1.184320096
1290,5.792,,,,,,,,,,,,,174,0.142344322,1.191165877
1300,5.826,,,,,,,,,,,,,175,0.143162393,1.198011658
1310,5.87,,,,,,,,,,,,,176,0.143980464,1.204857439
1320,5.905,,,,,,,,,,,,,177,0.144798535,1.21170322
1330,5.942,,,,,,,,,,,,,178,0.145616606,1.218549001
1340,5.98,,,,,,,,,,,,,179,0.146434676,1.225394782
1350,6.02,,,,,,,,,,,,,180,0.147252747,1.232240563
1360,6.06,,,,,,,,,,,,,181,0.148070818,1.239086344
1370,6.09,,,,,,,,,,,,,182,0.148888889,1.245932125
1380,6.128,,,,,,,,,,,,,183,0.14970696,1.252777905
1390,6.16,,,,,,,,,,,,,184,0.150525031,1.259623686
1400,6.2,,,,,,,,,,,,,185,0.151343101,1.266469467
,,,,,,,,,,,,,,186,0.152161172,1.273315248
,,,,,,,,,,,,,,187,0.152979243,1.280161029
,,,,,,,,,,,,,,188,0.153797314,1.28700681
,,,,,,,,,,,,,,189,0.154615385,1.293852591
,,,,,,,,,,,,,,190,0.155433455,1.300698372
,,,,,,,,,,,,,,191,0.156251526,1.307544153
,,,,,,,,,,,,,,192,0.157069597,1.314389934
,,,,,,,,,,,,,,193,0.157887668,1.321235715
,,,,,,,,,,,,,,194,0.158705739,1.328081495
,,,,,,,,,,,,,,195,0.15952381,1.334927276
,,,,,,,,,,,,,,196,0.16034188,1.341773057
,,,,,,,,,,,,,,197,0.161159951,1.348618838
,,,,,,,,,,,,,,198,0.161978022,1.355464619
,,,,,,,,,,,,,,199,0.162796093,1.3623104
,,,,,,,,,,,,,,200,0.163614164,1.369156181
,,,,,,,,,,,,,,201,0.164432234,1.376001962
,,,,,,,,,,,,,,202,0.165250305,1.382847743
,,,,,,,,,,,,,,203,0.166068376,1.389693524
,,,,,,,,,,,,,,204,0.166886447,1.396539304
,,,,,,,,,,,,,,205,0.167704518,1.403385085
,,,,,,,,,,,,,,206,0.168522589,1.410230866
,,,,,,,,,,,,,,207,0.169340659,1.417076647
,,,,,,,,,,,,,,208,0.17015873,1.423922428
,,,,,,,,,,,,,,209,0.170976801,1.430768209
,,,,,,,,,,,,,,210,0.171794872,1.43761399
,,,,,,,,,,,,,,211,0.172612943,1.444459771
,,,,,,,,,,,,,,212,0.173431013,1.451305552
,,,,,,,,,,,,,,213,0.174249084,1.458151333
,,,,,,,,,,,,,,214,0.175067155,1.464997114
,,,,,,,,,,,,,,215,0.175885226,1.471842894
,,,,,,,,,,,,,,216,0.176703297,1.478688675
,,,,,,,,,,,,,,217,0.177521368,1.485534456
,,,,,,,,,,,,,,218,0.178339438,1.492380237
,,,,,,,,,,,,,,219,0.179157509,1.499226018
,,,,,,,,,,,,,,220,0.17997558,1.506071799
,,,,,,,,,,,,,,221,0.180793651,1.51291758
,,,,,,,,,,,,,,222,0.181611722,1.519763361
,,,,,,,,,,,,,,223,0.182429792,1.526609142
,,,,,,,,,,,,,,224,0.183247863,1.533454923
,,,,,,,,,,,,,,225,0.184065934,1.540300703
,,,,,,,,,,,,,,226,0.184884005,1.547146484
,,,,,,,,,,,,,,227,0.185702076,1.553992265
,,,,,,,,,,,,,,228,0.186520147,1.560838046
,,,,,,,,,,,,,,229,0.187338217,1.567683827
,,,,,,,,,,,,,,230,0.188156288,1.574529608
,,,,,,,,,,,,,,231,0.188974359,1.581375389
,,,,,,,,,,,,,,232,0.18979243,1.58822117
,,,,,,,,,,,,,,233,0.190610501,1.595066951
,,,,,,,,,,,,,,234,0.191428571,1.601912732
,,,,,,,,,,,,,,235,0.192246642,1.608758513
,,,,,,,,,,,,,,236,0.193064713,1.615604293
,,,,,,,,,,,,,,237,0.193882784,1.622450074
,,,,,,,,,,,,,,238,0.194700855,1.629295855
,,,,,,,,,,,,,,239,0.195518926,1.636141636
,,,,,,,,,,,,,,240,0.196336996,1.642987417
,,,,,,,,,,,,,,241,0.197155067,1.649833198
,,,,,,,,,,,,,,242,0.197973138,1.656678979
,,,,,,,,,,,,,,243,0.198791209,1.66352476
,,,,,,,,,,,,,,244,0.19960928,1.670370541
,,,,,,,,,,,,,,245,0.20042735,1.677216322
,,,,,,,,,,,,,,246,0.201245421,1.684062102
,,,,,,,,,,,,,,247,0.202063492,1.690907883
,,,,,,,,,,,,,,248,0.202881563,1.697753664
,,,,,,,,,,,,,,249,0.203699634,1.704599445
,,,,,,,,,,,,,,250,0.204517705,1.711445226
,,,,,,,,,,,,,,251,0.205335775,1.718291007
,,,,,,,,,,,,,,252,0.206153846,1.725136788
,,,,,,,,,,,,,,253,0.206971917,1.731982569
,,,,,,,,,,,,,,254,0.207789988,1.73882835
,,,,,,,,,,,,,,255,0.208608059,1.745674131
,,,,,,,,,,,,,,256,0.209426129,1.752519912
,,,,,,,,,,,,,,257,0.2102442,1.759365692
,,,,,,,,,,,,,,258,0.211062271,1.766211473
,,,,,,,,,,,,,,259,0.211880342,1.773057254
,,,,,,,,,,,,,,260,0.212698413,1.779903035
,,,,,,,,,,,,,,261,0.213516484,1.786748816
,,,,,,,,,,,,,,262,0.214334554,1.793594597
,,,,,,,,,,,,,,263,0.215152625,1.800440378
,,,,,,,,,,,,,,264,0.215970696,1.807286159
,,,,,,,,,,,,,,265,0.216788767,1.81413194
,,,,,,,,,,,,,,266,0.217606838,1.820977721
,,,,,,,,,,,,,,267,0.218424908,1.827823501
,,,,,,,,,,,,,,268,0.219242979,1.834669282
,,,,,,,,,,,,,,269,0.22006105,1.841515063
,,,,,,,,,,,,,,270,0.220879121,1.848360844
,,,,,,,,,,,,,,271,0.221697192,1.855206625
,,,,,,,,,,,,,,272,0.222515263,1.862052406
,,,,,,,,,,,,,,273,0.223333333,1.868898187
,,,,,,,,,,,,,,274,0.224151404,1.875743968
,,,,,,,,,,,,,,275,0.224969475,1.882589749
,,,,,,,,,,,,,,276,0.225787546,1.88943553
,,,,,,,,,,,,,,277,0.226605617,1.896281311
,,,,,,,,,,,,,,278,0.227423687,1.903127091
,,,,,,,,,,,,,,279,0.228241758,1.909972872
,,,,,,,,,,,,,,280,0.229059829,1.916818653
,,,,,,,,,,,,,,281,0.2298779,1.923664434
,,,,,,,,,,,,,,282,0.230695971,1.930510215
,,,,,,,,,,,,,,283,0.231514042,1.937355996
,,,,,,,,,,,,,,284,0.232332112,1.944201777
,,,,,,,,,,,,,,285,0.233150183,1.951047558
,,,,,,,,,,,,,,286,0.233968254,1.957893339
,,,,,,,,,,,,,,287,0.234786325,1.96473912
,,,,,,,,,,,,,,288,0.235604396,1.9715849
,,,,,,,,,,,,,,289,0.236422466,1.978430681
,,,,,,,,,,,,,,290,0.237240537,1.985276462
,,,,,,,,,,,,,,291,0.238058608,1.992122243
,,,,,,,,,,,,,,292,0.238876679,1.998968024
,,,,,,,,,,,,,,293,0.23969475,2.005813805
,,,,,,,,,,,,,,294,0.240512821,2.012659586
,,,,,,,,,,,,,,295,0.241330891,2.019505367
,,,,,,,,,,,,,,296,0.242148962,2.026351148
,,,,,,,,,,,,,,297,0.242967033,2.033196929
,,,,,,,,,,,,,,298,0.243785104,2.040042709
,,,,,,,,,,,,,,299,0.244603175,2.04688849
,,,,,,,,,,,,,,300,0.245421245,2.053734271
,,,,,,,,,,,,,,301,0.246239316,2.060580052
,,,,,,,,,,,,,,302,0.247057387,2.067425833
,,,,,,,,,,,,,,303,0.247875458,2.074271614
,,,,,,,,,,,,,,304,0.248693529,2.081117395
,,,,,,,,,,,,,,305,0.2495116,2.087963176
,,,,,,,,,,,,,,306,0.25032967,2.094808957
,,,,,,,,,,,,,,307,0.251147741,2.101654738
,,,,,,,,,,,,,,308,0.251965812,2.108500519
,,,,,,,,,,,,,,309,0.252783883,2.115346299
,,,,,,,,,,,,,,310,0.253601954,2.12219208
,,,,,,,,,,,,,,311,0.254420024,2.129037861
,,,,,,,,,,,,,,312,0.255238095,2.135883642
,,,,,,,,,,,,,,313,0.256056166,2.142729423
,,,,,,,,,,,,,,314,0.256874237,2.149575204
,,,,,,,,,,,,,,315,0.257692308,2.156420985
,,,,,,,,,,,,,,316,0.258510379,2.163266766
,,,,,,,,,,,,,,317,0.259328449,2.170112547
,,,,,,,,,,,,,,318,0.26014652,2.176958328
,,,,,,,,,,,,,,319,0.260964591,2.183804108
,,,,,,,,,,,,,,320,0.261782662,2.190649889
,,,,,,,,,,,,,,321,0.262600733,2.19749567
,,,,,,,,,,,,,,322,0.263418803,2.204341451
,,,,,,,,,,,,,,323,0.264236874,2.211187232
,,,,,,,,,,,,,,324,0.265054945,2.218033013
,,,,,,,,,,,,,,325,0.265873016,2.224878794
,,,,,,,,,,,,,,326,0.266691087,2.231724575
,,,,,,,,,,,,,,327,0.267509158,2.238570356
,,,,,,,,,,,,,,328,0.268327228,2.245416137
,,,,,,,,,,,,,,329,0.269145299,2.252261918
,,,,,,,,,,,,,,330,0.26996337,2.259107698
,,,,,,,,,,,,,,331,0.270781441,2.265953479
,,,,,,,,,,,,,,332,0.271599512,2.27279926
,,,,,,,,,,,,,,333,0.272417582,2.279645041
,,,,,,,,,,,,,,334,0.273235653,2.286490822
,,,,,,,,,,,,,,335,0.274053724,2.293336603
,,,,,,,,,,,,,,336,0.274871795,2.300182384
,,,,,,,,,,,,,,337,0.275689866,2.307028165
,,,,,,,,,,,,,,338,0.276507937,2.313873946
,,,,,,,,,,,,,,339,0.277326007,2.320719727
,,,,,,,,,,,,,,340,0.278144078,2.327565507
,,,,,,,,,,,,,,341,0.278962149,2.334411288
,,,,,,,,,,,,,,342,0.27978022,2.341257069
,,,,,,,,,,,,,,343,0.280598291,2.34810285
,,,,,,,,,,,,,,344,0.281416361,2.354948631
,,,,,,,,,,,,,,345,0.282234432,2.361794412
,,,,,,,,,,,,,,346,0.283052503,2.368640193
,,,,,,,,,,,,,,347,0.283870574,2.375485974
,,,,,,,,,,,,,,348,0.284688645,2.382331755
,,,,,,,,,,,,,,349,0.285506716,2.389177536
,,,,,,,,,,,,,,350,0.286324786,2.396023317
,,,,,,,,,,,,,,351,0.287142857,2.402869097
,,,,,,,,,,,,,,352,0.287960928,2.409714878
,,,,,,,,,,,,,,353,0.288778999,2.416560659
,,,,,,,,,,,,,,354,0.28959707,2.42340644
,,,,,,,,,,,,,,355,0.29041514,2.430252221
,,,,,,,,,,,,,,356,0.291233211,2.437098002
,,,,,,,,,,,,,,357,0.292051282,2.443943783
,,,,,,,,,,,,,,358,0.292869353,2.450789564
,,,,,,,,,,,,,,359,0.293687424,2.457635345
,,,,,,,,,,,,,,360,0.294505495,2.464481126
,,,,,,,,,,,,,,361,0.295323565,2.471326906
,,,,,,,,,,,,,,362,0.296141636,2.478172687
,,,,,,,,,,,,,,363,0.296959707,2.485018468
,,,,,,,,,,,,,,364,0.297777778,2.491864249
,,,,,,,,,,,,,,365,0.298595849,2.49871003
,,,,,,,,,,,,,,366,0.299413919,2.505555811
,,,,,,,,,,,,,,367,0.30023199,2.512401592
,,,,,,,,,,,,,,368,0.301050061,2.519247373
,,,,,,,,,,,,,,369,0.301868132,2.526093154
,,,,,,,,,,,,,,370,0.302686203,2.532938935
,,,,,,,,,,,,,,371,0.303504274,2.539784716
,,,,,,,,,,,,,,372,0.304322344,2.546630496
,,,,,,,,,,,,,,373,0.305140415,2.553476277
,,,,,,,,,,,,,,374,0.305958486,2.560322058
,,,,,,,,,,,,,,375,0.306776557,2.567167839
,,,,,,,,,,,,,,376,0.307594628,2.57401362
,,,,,,,,,,,,,,377,0.308412698,2.580859401
,,,,,,,,,,,,,,378,0.309230769,2.587705182
